source,track_uri,track_name,artist_name,artist_popularity,artist_genres,album,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
playlist,spotify:track:7GE3LwWzboPaTN0TlDcPs1,Khwab Dekhe Sexy Lady,Pritam,85,"['filmi', 'indian instrumental', 'modern bollywood']",Race (Original Motion Picture Soundtrack),54,0.818,0.829,8,-7.145,0,0.0978,0.303,8.53E-05,0.277,0.967,108.999,audio_features,7GE3LwWzboPaTN0TlDcPs1,spotify:track:7GE3LwWzboPaTN0TlDcPs1,https://api.spotify.com/v1/tracks/7GE3LwWzboPaTN0TlDcPs1,https://api.spotify.com/v1/audio-analysis/7GE3LwWzboPaTN0TlDcPs1,279357,4
playlist,spotify:track:2ibipg9GBEZ5YKOdskobJZ,"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Tanishk Bagchi,75,"['desi pop', 'filmi', 'modern bollywood']","Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",63,0.844,0.794,8,-5.943,1,0.0475,0.131,0.000274,0.0525,0.67,129.986,audio_features,2ibipg9GBEZ5YKOdskobJZ,spotify:track:2ibipg9GBEZ5YKOdskobJZ,https://api.spotify.com/v1/tracks/2ibipg9GBEZ5YKOdskobJZ,https://api.spotify.com/v1/audio-analysis/2ibipg9GBEZ5YKOdskobJZ,188101,4
playlist,spotify:track:1vBmaijoCBoqmwc3zs5n3s,Dus Bahane,Shaan,67,"['filmi', 'modern bollywood']",Dus,56,0.833,0.917,7,-5.498,1,0.0597,0.175,1.92E-06,0.109,0.874,110.001,audio_features,1vBmaijoCBoqmwc3zs5n3s,spotify:track:1vBmaijoCBoqmwc3zs5n3s,https://api.spotify.com/v1/tracks/1vBmaijoCBoqmwc3zs5n3s,https://api.spotify.com/v1/audio-analysis/1vBmaijoCBoqmwc3zs5n3s,206947,4
playlist,spotify:track:3jyqXdAjwqO3gFtjnYrbq9,"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")",Darshan Raval,75,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']","Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"") - Single",49,0.537,0.604,10,-7.576,1,0.054,0.757,0,0.322,0.41,173.915,audio_features,3jyqXdAjwqO3gFtjnYrbq9,spotify:track:3jyqXdAjwqO3gFtjnYrbq9,https://api.spotify.com/v1/tracks/3jyqXdAjwqO3gFtjnYrbq9,https://api.spotify.com/v1/audio-analysis/3jyqXdAjwqO3gFtjnYrbq9,155172,4
playlist,spotify:track:2g3o6I7YuKFEUn9OOfuAfP,Naina Da Kya Kasoor,Amit Trivedi,66,"['filmi', 'modern bollywood']",Andhadhun (Original Motion Picture Soundtrack),59,0.712,0.659,9,-6.348,1,0.0538,0.159,0.0129,0.0781,0.545,63.048,audio_features,2g3o6I7YuKFEUn9OOfuAfP,spotify:track:2g3o6I7YuKFEUn9OOfuAfP,https://api.spotify.com/v1/tracks/2g3o6I7YuKFEUn9OOfuAfP,https://api.spotify.com/v1/audio-analysis/2g3o6I7YuKFEUn9OOfuAfP,210952,4
playlist,spotify:track:5sUSbJo0brScvv48ZZ1HrQ,O'Meri Laila,Atif Aslam,75,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",Laila Majnu (Original Motion Picture Soundtrack),53,0.575,0.81,8,-4.8,1,0.0525,0.158,0,0.25,0.751,160.098,audio_features,5sUSbJo0brScvv48ZZ1HrQ,spotify:track:5sUSbJo0brScvv48ZZ1HrQ,https://api.spotify.com/v1/tracks/5sUSbJo0brScvv48ZZ1HrQ,https://api.spotify.com/v1/audio-analysis/5sUSbJo0brScvv48ZZ1HrQ,281856,3
playlist,spotify:track:2W5acFzXf5FrktecuD30Or,One Love,Blue,60,['boy band'],One Love,63,0.683,0.722,8,-4.039,0,0.0358,0.0243,4.20E-05,0.35,0.854,95.012,audio_features,2W5acFzXf5FrktecuD30Or,spotify:track:2W5acFzXf5FrktecuD30Or,https://api.spotify.com/v1/tracks/2W5acFzXf5FrktecuD30Or,https://api.spotify.com/v1/audio-analysis/2W5acFzXf5FrktecuD30Or,207187,4
playlist,spotify:track:1O3WfEwaSpsgZ6tw8jNT8I,Maana Ke Hum Yaar Nahin,Sachin-Jigar,74,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",Meri Pyaari Bindu,57,0.537,0.367,8,-9.362,1,0.0241,0.815,0,0.132,0.348,90.953,audio_features,1O3WfEwaSpsgZ6tw8jNT8I,spotify:track:1O3WfEwaSpsgZ6tw8jNT8I,https://api.spotify.com/v1/tracks/1O3WfEwaSpsgZ6tw8jNT8I,https://api.spotify.com/v1/audio-analysis/1O3WfEwaSpsgZ6tw8jNT8I,264614,4
playlist,spotify:track:4AoQVhME8Ko6LNm4lV2wwQ,Hookah Bar,Himesh Reshammiya,64,"['filmi', 'modern bollywood']",Khiladi 786,63,0.73,0.656,11,-5.07,1,0.0294,0.00797,0.00271,0.108,0.743,131.04,audio_features,4AoQVhME8Ko6LNm4lV2wwQ,spotify:track:4AoQVhME8Ko6LNm4lV2wwQ,https://api.spotify.com/v1/tracks/4AoQVhME8Ko6LNm4lV2wwQ,https://api.spotify.com/v1/audio-analysis/4AoQVhME8Ko6LNm4lV2wwQ,254351,4
playlist,spotify:track:3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")",Arijit Singh,88,"['filmi', 'modern bollywood']","Satranga (From ""ANIMAL"")",76,0.273,0.405,0,-5.81,1,0.0298,0.735,0,0.189,0.534,89.48,audio_features,3yHyiUDJdz02FZ6jfUbsmY,spotify:track:3yHyiUDJdz02FZ6jfUbsmY,https://api.spotify.com/v1/tracks/3yHyiUDJdz02FZ6jfUbsmY,https://api.spotify.com/v1/audio-analysis/3yHyiUDJdz02FZ6jfUbsmY,271169,3
